city_name,city_code,year,aqi
北京市,110000,2021,60
天津市,120000,2021,70
石家庄市,130100,2021,80
唐山市,130200,2021,80
秦皇岛市,130300,2021,60
邯郸市,130400,2021,80
邢台市,130500,2021,80
保定市,130600,2021,80
张家口市,130700,2021,60
承德市,130800,2021,60
沧州市,130900,2021,70
廊坊市,131000,2021,70
衡水市,131100,2021,70
太原市,140100,2021,80
大同市,140200,2021,70
阳泉市,140300,2021,80
长治市,140400,2021,70
晋城市,140500,2021,80
朔州市,140600,2021,80
晋中市,140700,2021,70
运城市,140800,2021,90
忻州市,140900,2021,80
临汾市,141000,2021,90
吕梁市,141100,2021,80
呼和浩特市,150100,2021,70
包头市,150200,2021,70
乌海市,150300,2021,80
赤峰市,150400,2021,50
通辽市,150500,2021,50
鄂尔多斯市,150600,2021,70
呼伦贝尔市,150700,2021,30
巴彦淖尔市,150800,2021,80
乌兰察布市,150900,2021,50
兴安盟,152200,2021,40
锡林郭勒盟,152500,2021,40
阿拉善盟,152900,2021,70
沈阳市,210100,2021,60
大连市,210200,2021,50
鞍山市,210300,2021,60
抚顺市,210400,2021,60
本溪市,210500,2021,50
丹东市,210600,2021,50
锦州市,210700,2021,70
营口市,210800,2021,60
阜新市,210900,2021,60
辽阳市,211000,2021,60
盘锦市,211100,2021,60
铁岭市,211200,2021,60
朝阳市,211300,2021,60
葫芦岛市,211400,2021,70
长春市,220100,2021,60
吉林市,220200,2021,50
四平市,220300,2021,50
辽源市,220400,2021,50
通化市,220500,2021,40
白山市,220600,2021,50
松原市,220700,2021,50
白城市,220800,2021,40
延边朝鲜族自治州,222400,2021,40
哈尔滨市,230100,2021,60
齐齐哈尔市,230200,2021,40
鸡西市,230300,2021,50
鹤岗市,230400,2021,40
双鸭山市,230500,2021,40
大庆市,230600,2021,50
伊春市,230700,2021,40
佳木斯市,230800,2021,50
七台河市,230900,2021,50
牡丹江市,231000,2021,50
黑河市,231100,2021,30
绥化市,231200,2021,50
大兴安岭地区,232700,2021,30
上海市,310000,2021,50
南京市,320100,2021,60
无锡市,320200,2021,60
徐州市,320300,2021,70
常州市,320400,2021,60
苏州市,320500,2021,50
南通市,320600,2021,50
连云港市,320700,2021,60
淮安市,320800,2021,70
盐城市,320900,2021,50
扬州市,321000,2021,60
镇江市,321100,2021,60
泰州市,321200,2021,60
宿迁市,321300,2021,70
杭州市,330100,2021,50
宁波市,330200,2021,40
温州市,330300,2021,50
嘉兴市,330400,2021,50
湖州市,330500,2021,50
绍兴市,330600,2021,50
金华市,330700,2021,50
衢州市,330800,2021,50
舟山市,330900,2021,30
台州市,331000,2021,40
丽水市,331100,2021,40
合肥市,340100,2021,60
芜湖市,340200,2021,60
蚌埠市,340300,2021,70
淮南市,340400,2021,70
马鞍山市,340500,2021,60
淮北市,340600,2021,70
铜陵市,340700,2021,60
安庆市,340800,2021,60
黄山市,341000,2021,40
滁州市,341100,2021,60
阜阳市,341200,2021,70
宿州市,341300,2021,70
六安市,341500,2021,60
亳州市,341600,2021,70
池州市,341700,2021,50
宣城市,341800,2021,50
福州市,350100,2021,40
厦门市,350200,2021,40
莆田市,350300,2021,40
三明市,350400,2021,40
泉州市,350500,2021,40
漳州市,350600,2021,50
南平市,350700,2021,30
龙岩市,350800,2021,40
宁德市,350900,2021,40
南昌市,360100,2021,50
景德镇市,360200,2021,40
萍乡市,360300,2021,50
九江市,360400,2021,50
新余市,360500,2021,50
鹰潭市,360600,2021,40
赣州市,360700,2021,40
吉安市,360800,2021,50
宜春市,360900,2021,50
抚州市,361000,2021,50
上饶市,361100,2021,50
济南市,370100,2021,80
青岛市,370200,2021,60
淄博市,370300,2021,80
枣庄市,370400,2021,80
东营市,370500,2021,70
烟台市,370600,2021,60
潍坊市,370700,2021,70
济宁市,370800,2021,80
泰安市,370900,2021,80
威海市,371000,2021,50
日照市,371100,2021,60
临沂市,371300,2021,80
德州市,371400,2021,80
聊城市,371500,2021,80
滨州市,371600,2021,80
菏泽市,371700,2021,90
郑州市,410100,2021,80
开封市,410200,2021,90
洛阳市,410300,2021,80
平顶山市,410400,2021,80
安阳市,410500,2021,90
鹤壁市,410600,2021,90
新乡市,410700,2021,90
焦作市,410800,2021,80
濮阳市,410900,2021,90
许昌市,411000,2021,80
漯河市,411100,2021,80
三门峡市,411200,2021,80
南阳市,411300,2021,80
商丘市,411400,2021,80
信阳市,411500,2021,60
周口市,411600,2021,80
驻马店市,411700,2021,70
武汉市,420100,2021,60
黄石市,420200,2021,60
十堰市,420300,2021,50
宜昌市,420500,2021,60
襄阳市,420600,2021,80
鄂州市,420700,2021,60
荆门市,420800,2021,70
孝感市,420900,2021,60
荆州市,421000,2021,60
黄冈市,421100,2021,60
咸宁市,421200,2021,50
随州市,421300,2021,60
恩施土家族苗族自治州,422800,2021,50
长沙市,430100,2021,60
株洲市,430200,2021,60
湘潭市,430300,2021,60
衡阳市,430400,2021,60
邵阳市,430500,2021,60
岳阳市,430600,2021,60
常德市,430700,2021,60
张家界市,430800,2021,40
益阳市,430900,2021,60
郴州市,431000,2021,40
永州市,431100,2021,50
怀化市,431200,2021,50
娄底市,431300,2021,50
湘西土家族苗族自治州,433100,2021,40
广州市,440100,2021,40
韶关市,440200,2021,40
深圳市,440300,2021,40
珠海市,440400,2021,40
汕头市,440500,2021,40
佛山市,440600,2021,50
江门市,440700,2021,40
湛江市,440800,2021,40
茂名市,440900,2021,40
肇庆市,441200,2021,40
惠州市,441300,2021,40
梅州市,441400,2021,40
汕尾市,441500,2021,40
河源市,441600,2021,40
阳江市,441700,2021,40
清远市,441800,2021,40
东莞市,441900,2021,40
中山市,442000,2021,40
潮州市,445100,2021,40
揭阳市,445200,2021,50
云浮市,445300,2021,40
南宁市,450100,2021,50
柳州市,450200,2021,50
桂林市,450300,2021,50
梧州市,450400,2021,50
北海市,450500,2021,40
防城港市,450600,2021,40
钦州市,450700,2021,50
贵港市,450800,2021,50
玉林市,450900,2021,50
百色市,451000,2021,50
贺州市,451100,2021,50
河池市,451200,2021,40
来宾市,451300,2021,50
崇左市,451400,2021,50
海口市,460100,2021,30
三亚市,460200,2021,30
瞻洲市,460400,2021,30
重庆市,500000,2021,50
成都市,510100,2021,60
自贡市,510300,2021,70
攀枝花市,510400,2021,50
泸州市,510500,2021,60
德阳市,510600,2021,60
绵阳市,510700,2021,60
广元市,510800,2021,40
遂宁市,510900,2021,50
内江市,511000,2021,60
乐山市,511100,2021,60
南充市,511300,2021,60
眉山市,511400,2021,50
宜宾市,511500,2021,60
广安市,511600,2021,50
达州市,511700,2021,60
雅安市,511800,2021,40
巴中市,511900,2021,40
资阳市,512000,2021,50
阿坝藏族羌族自治州,513200,2021,30
甘孜藏族自治州,513300,2021,20
凉山彝族自治州,513400,2021,40
贵阳市,520100,2021,40
六盘水市,520200,2021,40
遵义市,520300,2021,40
安顺市,520400,2021,40
毕节地区,520500,2021,40
铜仁地区,520600,2021,40
黔西南布依族苗族自治州,522300,2021,40
黔东南苗族侗族自治州,522600,2021,40
黔南布依族苗族自治州,522700,2021,30
昆明市,530100,2021,40
曲靖市,530300,2021,40
玉溪市,530400,2021,40
保山市,530500,2021,40
昭通市,530600,2021,40
丽江市,530700,2021,30
普洱市,530800,2021,40
临沧市,530900,2021,40
楚雄彝族自治州,532300,2021,30
红河哈尼族彝族自治州,532500,2021,40
文山壮族苗族自治州,532600,2021,40
西双版纳傣族自治州,532800,2021,40
大理白族自治州,532900,2021,30
德宏傣族景颇族自治州,533100,2021,50
怒江傈僳族自治州,533300,2021,40
迪庆藏族自治州,533400,2021,30
拉萨市,540100,2021,30
日喀则市,540200,2021,30
昌都地区,540300,2021,30
山南地区,540500,2021,30
那曲地区,540600,2021,40
阿里地区,542500,2021,30
林芝地区,540400,2021,20
西安市,610100,2021,80
铜川市,610200,2021,70
宝鸡市,610300,2021,70
咸阳市,610400,2021,90
渭南市,610500,2021,80
延安市,610600,2021,60
汉中市,610700,2021,60
榆林市,610800,2021,70
安康市,610900,2021,50
商洛市,611000,2021,50
兰州市,620100,2021,70
嘉峪关市,620200,2021,70
金昌市,620300,2021,70
白银市,620400,2021,70
天水市,620500,2021,50
武威市,620600,2021,80
张掖市,620700,2021,70
平凉市,620800,2021,60
酒泉市,620900,2021,80
庆阳市,621000,2021,60
定西市,621100,2021,60
陇南市,621200,2021,40
临夏回族自治州,622900,2021,60
甘南藏族自治州,623000,2021,40
西宁市,630100,2021,60
海东地区,630200,2021,70
海北藏族自治州,632200,2021,40
黄南藏族自治州,632300,2021,50
海南藏族自治州,632500,2021,40
果洛藏族自治州,632600,2021,40
玉树藏族自治州,632700,2021,30
海西蒙古族藏族自治州,632800,2021,40
银川市,640100,2021,70
石嘴山市,640200,2021,80
吴忠市,640300,2021,80
固原市,640400,2021,60
中卫市,640500,2021,80
乌鲁木齐市,650100,2021,80
克拉玛依市,650200,2021,50
吐鲁番地区,650400,2021,100
哈密地区,650500,2021,80
昌吉回族自治州,652300,2021,70
博尔塔拉蒙古自治州,652700,2021,60
巴音郭楞蒙古自治州,652800,2021,110
阿克苏地区,652900,2021,110
克孜勒苏柯尔克孜自治州,653000,2021,110
喀什地区,653100,2021,150
和田地区,653200,2021,180
伊犁哈萨克自治州,654000,2021,60
塔城地区,654200,2021,40
阿勒泰地区,654300,2021,30
石河子市,659001,2021,90
五家渠市,659004,2021,100
